Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address 1,Address 2,County,lat,lon,Primary NAICS Code,Industry Type (subparts),val
1000272,110043809652,UCC South Charleston Plant,SOUTH CHARLESTON,WV,25303,MACCORKLE AVE,,Kanawha,38.3632688,-81.6856808,325199,C,141786
1002461,110000746658,ULTRAMAR INC WILMINGTON REFINERY,WILMINGTON,CA,90744,2402 EAST ANAHEIM STREET,,LOS ANGELES,33.780556,-118.235833,324110,"C,Y",1037998.913
1006902,110043812023,UMASS MEDICAL SCHOOL,WORCESTER,MA,01655,55 LAKE AVE NORTH,,WORCESTER,42.27863,-71.759025,611310,C,71177.5
1005136,110010425833,UMASS PHYSICAL PLANT BUILDING,AMHERST,MA,01003,360 CAMPUS CENTER WAY,,HAMPSHIRE,42.391392,-72.53024,611310,C,102561.4
1005495,110043718322,UMDNJ,Newark,NJ,07101,65 Bergen Street,,Essex,40.7305373,-74.1730762,611310,C (Abbr),64167
1003479,110040970492,UNIMIN LIME CORPORATION,CALERA,AL,35040,8035 HIGHWAY 25 WEST,,SHELBY,33.093663,-86.794982,327410,"C,S",439875.2
1007031,110043812032,UNION CARBIDE CORP - ST CHARLES OPERATIONS,HAHNVILLE,LA,70057,HWY 3142 & 18,,SAINT CHARLES,29.9616924,-90.4596721,325199,"C,X",1807501
1002460,110000505524,UNION CARBIDE TEXAS CITY,TEXAS CITY,TX,77590,3301 5TH AVENUE SOUTH,,GALVESTON,29.369167,-94.945,325110,C,37492.2
1004479,110001698459,UNION COUNTY RECYCLING AND DISPOSAL,EL DORADO,AR,71730,3083 SMACKOVER HIGHWAY,,UNION,33.320671,-92.695421,562212,HH,
1004485,110041033164,UNION COUNTY REGIONAL MSW LANDFILL,ENOREE,SC,29335,898 WILDCAT RD,,SPARTANBURG,34.609132,-81.824248,562212,"C,HH",
1002269,110043802668,UNION COUNTY RESOURCE RECOVERY FACILITY,RAHWAY,NJ,07065,1499 U S RT 1 & 9 NORTH,,UNION,40.6041777,-74.2824862,562213,C,185982
1000399,110000582977,UNION ELEC HARMON CREEK PLT,BURGETTSTOWN,PA,15021,31 UNION ELECTRIC STEEL ROAD ROUTE 18 NORTH,,WASHINGTON,40.411179,-80.408398,333516,"C,Q",34989.7
1003407,110024266006,UNISEA - DUTCH HARBOR,DUTCH HARBOR,AK,99692,88 SALMON WAY,,ALEUTIANS WEST,53.878025,-166.553836,311711,C,27950
1002869,110043805816,UNITED AIRLINES MAINTENANCE OPERATIONS CENTER,SAN FRANCISCO,CA,94128,800 S. Airport Blvd - SFOMP/Bldg 49,,SAN MATEO,37.6239079,-122.3815924,488190,C,113639.7
1006580,110000471515,UNITED DAIRYMEN OF ARIZONA - DAIRY,TEMPE,AZ,85282,2008 SOUTH HARDY DRIVE,,MARICOPA,33.407278,-111.95216,311514,C,40491.7
1006138,110023153969,"UNITED ETHANOL, LLC",MILTON,WI,53563,1250 CHICAGO ST.,,ROCK,42.7715,-88.93125,325193,"C (Abbr),PP",74063
1003692,110012138846,UNITED REFUSE LANDFILL,FORT WAYNE,IN,46809,5000 SMITH RD,,Allen,41.079273,-85.1393513,562212,"C,HH",5.1
