Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address 1,Address 2,County,lat,lon,Primary NAICS Code,Industry Type (subparts),val
1004952,110000342157,TYSON FOODS INC - TEMPERANCEVILLE,TEMPERANCEVILLE,VA,23442,11224 LANKFORD HIGHWAY,,ACCOMACK,37.885,-75.555278,311615,C (Abbr),26.67
1004809,110000450805,TYSON FOODS INC PINE BLUFF JEFFERSON PARKWAY PLANT,PINE BLUFF,AR,71602,5505 JEFFERSON PARKWAY,,JEFFERSON,34.26387,-92.07564,311615,C (Abbr),10.29
1003444,110000452778,TYSON FOODS INCORPORATED,BERRYVILLE,AR,72616,110 W. FREEMAN AVE.,,CARROLL,36.370833,-93.570556,311615,C (Abbr),12.18
1000015,110000492734,TYSON FOODS INCORPORATED,WILKESBORO,NC,28697,704 FACTORY STREET,,WILKES,36.143889,-81.163333,311615,C,9.45
1000016,110001478696,TYSON FOODS INCORPORATED HARMONY,HARMONY,NC,28634,501 SHEFFIELD ROAD,,IREDELL,35.95458,-80.72108,311613,C,140.28
1002696,110007232173,TYSON FOODS-RIVER VALLEY,SCRANTON,AR,72863,7755 N STATE HWY 393,,LOGAN,35.374565,-93.567549,311613,C (Abbr),23.1
1000045,110041098497,TYSON FOODS-SEDALIA,SEDALIA,MO,65301,19571 WHITFIELD RD,,PETTIS,38.749447,-93.324929,311615,C,18.27
1000038,110000601616,TYSON FRESH MEATS,WALLULA,WA,99363,13983 DODD ROAD,,WALLA WALLA,46.13672,-118.91564,311611,C,8.82
1001680,110043805424,TYSON FRESH MEATS,AMARILLO,TX,79187,FARM ROAD 1912 AND HIGHWAY 66,,,35.1934945,-101.6537193,311611,C,32.76
1001827,110015772225,TYSON FRESH MEATS INC,HOLCOMB,KS,67851,3105 NORTH IBP ROAD,,FINNEY,38,-101.026111,311611,C,19.53
1000037,110041011865,TYSON FRESH MEATS INC,JOSLIN,IL,61254,HWY 92,,ROCK ISLAND,41.5514,-90.2256,311611,C,20.16
1006783,110041026047,TYSON FRESH MEATS INC,LOGANSPORT,IN,46947,2125 SOUTH CR 125 WEST,,CASS,40.74667,-86.56778,311611,C,10.08
1001912,110000517138,"TYSON FRESH MEATS, INC. - WATERLOO",WATERLOO,IA,50703,501 NORTH ELK RUN ROAD,,BLACK HAWK,42.50822,-92.26237,311611,C,27.09
